category,query_group,query,best_rank,url,title,body_char_count,image_count,heading_count,quality_score,quality_eligible,fetch_verdict,collected_at
shopping,home_appliance,무선 선풍기 추천 후기,1,https://blog.naver.com/football_goat/224388501090,"""완전 휴대용의 신세계다!"" 루메나 무선 냉각 손선풍기 추천, 무더위엔 이 제품이 답입니다! (JFK20 폴더블 오트화이트)",840,15,12,75,True,strong_ok,2026-08-30T00:13:56+09:00
shopping,home_appliance,로봇청소기 추천 비교 후기,1,https://blog.naver.com/100vs100328/224387068401,2026 가성비 로봇청소기 추천 계급도: 30~60만 원대 BEST 6 솔직 비교 (단점 & 평수별 가이드),2443,6,12,91,True,strong_ok,2026-08-30T00:13:55+09:00
shopping,home_appliance,음식물처리기 후기 장단점,1,https://blog.naver.com/2gwoo/224384789935,쿠첸 음식물 처리기 추천 분쇄기 메리트와 6개월 실사용 후기,1949,11,4,87,True,strong_ok,2026-08-30T00:13:55+09:00
shopping,home_appliance,무선청소기 추천 사용 후기,1,https://blog.naver.com/myi7777/224388257516,에어르 무선 미니 청소기 핸디 소형 원룸 머리카락 가벼운 더 그램,2784,10,7,95,True,strong_ok,2026-08-30T00:13:55+09:00
shopping,digital_it,노트북 추천 사용 후기,1,https://blog.naver.com/thgus09150/224387402626,"50만원대 노트북 추천 베이직북 14, 가성비 14인치 노트북 직접 써본 후기",2886,17,12,95,True,strong_ok,2026-08-30T00:13:56+09:00
shopping,digital_it,블루투스 이어폰 추천 비교,1,https://blog.naver.com/hmshms1224/224388814755,클리어 아크5 오픈형 블루투스 이어폰 THX 돌비 Cleer Arc5 블랙 골드,1911,19,12,87,True,strong_ok,2026-08-30T00:13:56+09:00
shopping,digital_it,기계식 키보드 추천 후기,1,https://blog.naver.com/reaa1213/224380739341,"사무실 도각도각 조용한 기계식 키보드 추천, 다얼유 A104 Pro 8K V2 조약돌 라떼축 후기",2341,16,12,95,True,strong_ok,2026-08-30T00:13:56+09:00
shopping,digital_it,보조배터리 추천 사용 후기,1,https://blog.naver.com/ihj5422/224386419856,다이치 에어포켓 4 통풍시트 3개월 사용 후기 호환 보조배터리 추천,2214,15,8,95,True,strong_ok,2026-08-30T00:13:57+09:00
shopping,beauty_body,헤어드라이어 추천 후기,1,https://blog.naver.com/alsdud456456/224362217018,블라우풍트 드라이기 추천 : 드라이기거치대까지 만족했던 BLDC 헤어드라이어 후기,1563,24,12,87,True,strong_ok,2026-08-30T00:13:57+09:00
shopping,beauty_body,선크림 추천 사용 후기,1,https://blog.naver.com/qmfosej/224388571172,"올리브영 선크림 추천 후기! 마몽드 NEW 선크림 2종, 촉촉한 #로즈 버블선 & 유분 잡는 #피어니퍼플선",2524,25,12,95,True,strong_ok,2026-08-30T00:13:57+09:00
shopping,beauty_body,샴푸 추천 솔직 후기,1,https://blog.naver.com/dldlxmf0509/224388803865,극손상모 샴푸 추천 | 케라스타즈 레지스턴스 방 포스 아키텍트 솔직 후기,2297,18,12,95,True,strong_ok,2026-08-30T00:13:57+09:00
shopping,beauty_body,홈케어 미용기기 후기 장단점,1,https://blog.naver.com/pharm-h/224006856758,홈케어 미용기기 : 마미케어 펜타프라임 솔직 후기 - 내돈내산 (4가지 모드 총정리),1392,13,12,87,True,strong_ok,2026-08-30T00:13:58+09:00
shopping,living_health,자세교정 방석 후기 장단점,1,https://blog.naver.com/queen0326/224370116336,스터디랩 자세교정방석 솔직 후기 공부방석 고민이라면,2298,17,12,95,True,strong_ok,2026-08-30T00:13:58+09:00
shopping,living_health,주방세제 추천 사용 후기,1,https://blog.naver.com/meongji__/224379531239,대용량주방세제 추천 살림백서 구연산 담은 주방세제 설거지부터 과일세척까지,1637,20,12,87,True,strong_ok,2026-08-30T00:13:58+09:00
shopping,living_health,여름 보냉백 추천 후기,1,https://blog.naver.com/dmsiulove/224380501135,보냉백 추천 사용후기 벤딕트 소프트쿨러 써보고 반한 이유,1990,24,12,87,True,strong_ok,2026-08-30T00:13:58+09:00
shopping,food_supplement,유산균 추천 후기 비교,1,https://blog.naver.com/ksj720508/224378411771,다이어트유산균 추천 : 뱃살 변화 솔직 후기,1770,16,12,87,True,strong_ok,2026-08-30T00:13:58+09:00
shopping,food_supplement,단백질 보충제 추천 후기,1,https://blog.naver.com/ejs2122/224375633870,식사대용 단백질쉐이크 아침 공복 단백질 보충제 백년동안 맛있는 단백질 먹어봄,1636,22,6,87,True,strong_ok,2026-08-30T00:13:58+09:00
shopping,food_supplement,건강 간식 추천 후기,1,https://blog.naver.com/kangssamo87/224324731837,코스트코 건강간식추천 [맛밤] 후기,828,8,12,71,True,strong_ok,2026-08-30T00:13:59+09:00
shopping,sports_leisure,골프 거리측정기 후기 비교,1,https://blog.naver.com/kmj8637/224370454809,골프거리측정기 추천 AI 음성인식이 진짜 편했던 MG캐디 MH4 필드 사용 후기,1624,19,12,87,True,strong_ok,2026-08-30T00:13:59+09:00
shopping,sports_leisure,캠핑 선풍기 추천 후기,1,https://blog.naver.com/voramines/224383836212,"""기존 손풍기 당장 버리세요"" 무선 가성비 무소음 휴대용 선풍기 내돈내산 리얼후기",1943,15,12,77,True,strong_ok,2026-08-30T00:13:59+09:00
shopping,sports_leisure,러닝화 추천 착용 후기,1,https://blog.naver.com/100vs100328/224369497595,[아식스 런닝화 비교] 카야노부터 메타스피드까지 인기 6종 가격·무게·사이즈 착용 후기 총정리,3494,6,12,91,True,strong_ok,2026-08-30T00:13:59+09:00
shopping,fashion_goods,여름 반바지 추천 착용 후기,1,https://blog.naver.com/dudwls8546/224376314341,여름 러닝복 추천 리액티파이 남자 러닝나시 반바지 모자 착용 후기,1678,20,12,87,True,strong_ok,2026-08-30T00:14:00+09:00
shopping,baby_pet,강아지 간식 추천 급여 후기,1,https://blog.naver.com/merry_d_nail/224384830764,강아지 올인원 치석케어 덴탈껌ㅣ댕댕이연구소 믹스츄ㅣ강아지 간식 추천 가수분해 덴탈껌 급여 후기,1206,24,12,87,True,strong_ok,2026-08-30T00:14:00+09:00
shopping,baby_pet,아기 장난감 추천 사용 후기,1,https://blog.naver.com/lavendacream/224388978628,"9개월 10개월 아기 장난감 추천, 브이텍 걸음마 보조기 사용 후기",1738,21,12,87,True,strong_ok,2026-08-30T00:14:00+09:00
shopping,home_appliance,무선 선풍기 추천 후기,2,https://blog.naver.com/chloee0115/224387595144,"레트로 감성 무선선풍기 추천, 폰텔로 미니 선풍기 사용 후기",871,14,12,75,True,strong_ok,2026-08-30T00:14:00+09:00
shopping,home_appliance,로봇청소기 추천 비교 후기,2,https://blog.naver.com/sinsa654/224379488365,드리미로봇청소기 사도 괜찮나? 로보락과 비교후기 정리 추천제품,1060,17,12,75,True,strong_ok,2026-08-30T00:14:00+09:00
shopping,home_appliance,음식물처리기 후기 장단점,2,https://blog.naver.com/annalee90/224388602060,"가정용 음식물처리기 추천, 실제 써본 바이툴즈 후기(장단점, 소음, 시간 등)",2894,28,12,95,True,strong_ok,2026-08-30T00:14:01+09:00
shopping,home_appliance,무선청소기 추천 사용 후기,2,https://blog.naver.com/dreamy35/224384998521,무선청소기 무선 진공 청소기 추천 핸디 미니 로보락 H60 Hub Ultra 후기,2438,6,9,91,True,strong_ok,2026-08-30T00:14:01+09:00
shopping,digital_it,노트북 추천 사용 후기,2,https://blog.naver.com/pisibook/224364394887,"초등학교 고학년·중학생 노트북 추천, 오래 사용할 제품을 찾는다면",4482,10,12,95,True,strong_ok,2026-08-30T00:14:01+09:00
shopping,digital_it,블루투스 이어폰 추천 비교,2,https://blog.naver.com/uju_byul/224387876856,"블루투스이어폰 무선이어폰 추천, 낫싱 Ear (3a) 노이즈캔슬링이어폰 사용후기",4527,44,12,95,True,strong_ok,2026-08-30T00:14:02+09:00
shopping,digital_it,기계식 키보드 추천 후기,2,https://blog.naver.com/jjang986/224378613422,"로지텍 G512 GX BLUE 후기, 눈과 귀가 즐거워지는 청축 기계식 키보드 추천",2239,15,3,95,True,strong_ok,2026-08-30T00:14:01+09:00
