category,query_group,query,best_rank,url,title,body_char_count,image_count,heading_count,quality_score,quality_eligible,fetch_verdict,collected_at
travel,japan,일본 패키지여행 후기 일정,1,https://blog.naver.com/lifeislovelytravel/224380261174,여름 삿포로 패키지여행 자유여행 일본 북해도 여행 후기,1858,23,12,87,True,strong_ok,2026-08-30T00:15:07+09:00
travel,japan,오사카 패키지여행 후기 코스,1,https://blog.naver.com/likez2/224359590305,일본 오사카 가족여행 3박 4일 일정 가을 여행 추천 (교토 나라 고베 패키지),2282,43,12,95,True,strong_ok,2026-08-30T00:15:07+09:00
travel,japan,도쿄 패키지여행 후기 일정,1,https://blog.naver.com/hm___05/224384207304,일본 도쿄 자유여행 패키지 추천 | 내일투어 도쿄 3박4일 금까기 자유여행 완전 분석!,1874,11,12,77,True,strong_ok,2026-08-30T00:15:07+09:00
travel,japan,오키나와 패키지여행 후기,1,https://blog.naver.com/sesool/224383773887,일본 오키나와 여행 코스 3박4일 가족여행 패키지 8월 9월 10월 오키나와,2358,38,12,95,True,strong_ok,2026-08-30T00:15:06+09:00
travel,taiwan,대만 타이베이 패키지여행 후기,1,https://blog.naver.com/lifeislovelytravel/224385884581,대만 패키지여행 3박4일 대만 타이베이 여행 코스 추천,1663,24,12,87,True,strong_ok,2026-08-30T00:15:07+09:00
travel,taiwan,타이페이 단수이 여행 코스 후기,1,https://blog.naver.com/fantapixx/224379706986,대만 단수이 여행 대만 자유여행 코스 추천,2368,41,12,95,True,strong_ok,2026-08-30T00:15:08+09:00
travel,vietnam,다낭 패키지여행 후기 일정,1,https://blog.naver.com/tnwlsdl702/224380598996,8월말 다낭 자유여행 3박4일 일정 바나힐 호이안 여행코스 날씨 후기,3097,51,12,95,True,strong_ok,2026-08-30T00:15:08+09:00
travel,vietnam,나트랑 패키지여행 후기,1,https://blog.naver.com/bintorynim/224387775235,나트랑 자유여행 단독 패키지 판랑사막투어 후기,5569,49,12,95,True,strong_ok,2026-08-30T00:15:09+09:00
travel,thailand,방콕 패키지여행 후기 코스,1,https://blog.naver.com/bosul101/224386670566,"태국 방콕 파타야 여행, 가족끼리 패키지 여행으로 간다면?",3048,40,12,95,True,strong_ok,2026-08-30T00:15:09+09:00
travel,indonesia,발리 패키지여행 후기 일정,1,https://blog.naver.com/koja44/224388983468,발리 신혼여행 4박6일 패키지 가격 경비 아나테라 주메이라 풀빌라 후기,1007,11,12,65,True,strong_ok,2026-08-30T00:15:09+09:00
